ppg_1,ppg_2,ppg_3
795384.625,182712016,157272608
798608.0625,182783744,157239568
794578.75,182805488,157266160
799413.9375,182813552,157304032
795384.625,182846592,157295168
796190.5,182836112,157337872
796996.3125,182853040,157301616
799413.9375,182844976,157268576
796996.3125,182888496,157205712
799413.9375,182816784,157127552
798608.0625,182875600,156934944
799413.9375,182794208,156669824
803443.25,182759568,156378096
801831.5,182779712,156064608
805054.9375,182823216,156038832
805860.8125,182805488,155997728
797802.1875,182869968,155971936
806666.6875,182819200,156027552
798608.0625,182930400,156146000
801831.5,182896560,156270912
800219.75,182987616,156291872
799413.9375,183020656,156343440
801025.625,183061760,156355536
800219.75,183067392,156402272
800219.75,183117360,156330544
798608.0625,183099632,156360368
798608.0625,183106080,156330544
796190.5,183162496,156354720
796996.3125,183229376,156268496
798608.0625,183206000,156203216
799413.9375,183244688,156228208
796190.5,183268864,156194352
795384.625,183272080,156142784
796190.5,183280144,156081536
792161.1875,183258384,156026736
795384.625,183273696,155962272
792161.1875,183202784,155934064
793772.875,183201168,155940512
790549.4375,183230176,155880080
790549.4375,183206000,155847040
792967.0625,183247104,155917952
790549.4375,183247104,155911504
792161.1875,183301904,155919568
792161.1875,183330912,155954208
792161.1875,183350256,155906672
796190.5,183346224,155936480
796190.5,183380880,155961472
796190.5,183372016,155967920
792967.0625,183421168,155969520
795384.625,183480000,156005792
792161.1875,183494512,156002560
797802.1875,183472752,156004976
792161.1875,183487248,155994512
793772.875,183512240,155977584
795384.625,183478384,156038832
792967.0625,183486448,155992080
793772.875,183485648,156063808
791355.3125,183539632,155993696
792161.1875,183555744,156007392
791355.3125,183489664,156009008
792161.1875,183484032,155935680
788937.75,183547696,155917952
788131.875,183534000,155833328
790549.4375,183470336,155918752
788131.875,183540432,155905856
791355.3125,183584768,155822864
790549.4375,183579920,155865568
789743.5625,183629088,155926000
791355.3125,183667760,155934864
788937.75,183677440,155985648
794578.75,183694352,156018688
793772.875,183777360,155988864
796190.5,183756416,156034000
792161.1875,183794288,156037216
792967.0625,183876480,156067040
792161.1875,183920000,156079120
792967.0625,183907104,156118608
792161.1875,183902272,156158896
793772.875,183876480,156183888
792161.1875,183929664,156236256
792967.0625,183945792,156403072
792967.0625,183918384,156426448
792967.0625,183963520,156443376
793772.875,183971568,156480432
796190.5,183916784,156553776
791355.3125,183951424,156527184
796190.5,183848272,156566672
795384.625,183932080,156515904
796190.5,183920800,156574720
796190.5,183911136,156519920
793772.875,183896624,156536848
800219.75,183860368,156539264
796190.5,183863584,156611792
801025.625,183890992,156555392
797802.1875,183856336,156501392
796996.3125,183874864,156516704
796996.3125,183799120,156544912
800219.75,183825712,156527184
798608.0625,183876480,156545712
797802.1875,183849888,156494144
798608.0625,183873264,156516704
796996.3125,183907104,156494144
795384.625,183882928,156561024
794578.75,183865200,156543296
796996.3125,183891792,156511056
792161.1875,183922416,156558608
796190.5,183961104,156588432
794578.75,183945792,156633552
796190.5,183985280,156602128
796190.5,184044912,156653696
796996.3125,184033632,156659344
798608.0625,184025568,156717360
797802.1875,184083584,156677072
796996.3125,184166592,156685936
800219.75,184123072,156743952
797802.1875,184149664,156690768
805054.9375,184184320,156734288
800219.75,184198832,156692384
801025.625,184139200,156692384
798608.0625,184115024,156629520
797802.1875,184072304,156677872
798608.0625,184037648,156524768
795384.625,184023952,156472384
795384.625,183956256,156399040
792967.0625,183931280,156328944
796190.5,183853920,156241104
794578.75,183893408,156166160
795384.625,183981248,156120224
792161.1875,183994944,156162928
792967.0625,183997360,156129088
792967.0625,183985280,156193552
794578.75,184028784,156219344
796190.5,184086816,156237072
796996.3125,184142416,156253184
796190.5,184155312,156307184
796996.3125,184170624,156365200
800219.75,184236704,156348272
796190.5,184209312,156361168
795384.625,184199632,156386160
801831.5,184289888,156401472
797802.1875,184209312,156450624
796996.3125,184259264,156430480
796996.3125,184283440,156445792
796996.3125,184306000,156469152
796996.3125,184268128,156436112
794578.75,184309232,156487696
796996.3125,184314064,156485280
796996.3125,184278608,156534432
800219.75,184323744,156528784
797802.1875,184302784,156529600
798608.0625,184285856,156562640
796996.3125,184376928,156519920
798608.0625,184409152,156511056
796190.5,184339040,156594064
799413.9375,184371280,156577136
797802.1875,184394656,156602928
798608.0625,184390624,156611792
803443.25,184390624,156612608
800219.75,184445424,156598896
800219.75,184473632,156585200
801831.5,184467984,156641616
796996.3125,184437360,156632752
801831.5,184398688,156622272
796190.5,184434944,156594064
797802.1875,184374512,156587616
798608.0625,184347104,156570688
797802.1875,184343072,156552160
798608.0625,184322928,156578752
797802.1875,184318896,156561024
798608.0625,184318096,156535232
797802.1875,184319712,156604544
797802.1875,184331792,156537648
794578.75,184343072,156555392
798608.0625,184319712,156541680
795384.625,184294720,156512672
796996.3125,184348720,156532016
794578.75,184335024,156546528
798608.0625,184371280,156567472
799413.9375,184351936,156536848
796996.3125,184323744,156561824
797802.1875,184323744,156561024
799413.9375,184373696,156606960
801831.5,184372896,156555392
798608.0625,184315680,156591648
795384.625,184403520,156579568
797802.1875,184360800,156628720
795384.625,184373696,156613408
795384.625,184389824,156611792
795384.625,184365648,156609376
796996.3125,184371280,156638384
793772.875,184369664,156664976
796996.3125,184420432,156659344
795384.625,184415600,156663376
790549.4375,184407552,156634352
796190.5,184426080,156677872
793772.875,184509088,156617440
796190.5,184455088,156687552
796190.5,184487328,156698016
795384.625,184492160,156706080
796190.5,184536480,156672240
797802.1875,184540512,156676256
798608.0625,184518752,156695600
796996.3125,184532448,156675456
794578.75,184578384,156705280
795384.625,184561472,156691568
796190.5,184490544,156740736
797802.1875,184509088,156671424
794578.75,184453472,156640000
796190.5,184469600,156619856
793772.875,184400288,156583584